order_id,order_date,order_time,item_name,category,price,order_datetime
1,2023-01-01,11:38:36 AM,Korean Beef Bowl,Asian,17.95,2023-01-01 11:38:36
2,2023-01-01,11:57:40 AM,Tofu Pad Thai,Asian,14.5,2023-01-01 11:57:40
2,2023-01-01,11:57:40 AM,Spaghetti,Italian,14.5,2023-01-01 11:57:40
2,2023-01-01,11:57:40 AM,Chicken Burrito,Mexican,12.95,2023-01-01 11:57:40
2,2023-01-01,11:57:40 AM,Mushroom Ravioli,Italian,15.5,2023-01-01 11:57:40
2,2023-01-01,11:57:40 AM,French Fries,American,7.0,2023-01-01 11:57:40
3,2023-01-01,12:12:28 PM,Chicken Burrito,Mexican,12.95,2023-01-01 12:12:28
3,2023-01-01,12:12:28 PM,Chicken Torta,Mexican,11.95,2023-01-01 12:12:28
4,2023-01-01,12:16:31 PM,Chicken Burrito,Mexican,12.95,2023-01-01 12:16:31
5,2023-01-01,12:21:30 PM,Chicken Burrito,Mexican,12.95,2023-01-01 12:21:30
6,2023-01-01,12:29:36 PM,Hamburger,American,12.95,2023-01-01 12:29:36
6,2023-01-01,12:29:36 PM,Potstickers,Asian,9.0,2023-01-01 12:29:36
7,2023-01-01,12:50:37 PM,Chips & Guacamole,Mexican,9.0,2023-01-01 12:50:37
8,2023-01-01,12:51:37 PM,Chips & Guacamole,Mexican,9.0,2023-01-01 12:51:37
9,2023-01-01,12:52:01 PM,Tofu Pad Thai,Asian,14.5,2023-01-01 12:52:01
9,2023-01-01,12:52:01 PM,Fettuccine Alfredo,Italian,14.5,2023-01-01 12:52:01
9,2023-01-01,12:52:01 PM,Pork Ramen,Asian,17.95,2023-01-01 12:52:01
9,2023-01-01,12:52:01 PM,Chicken Burrito,Mexican,12.95,2023-01-01 12:52:01
9,2023-01-01,12:52:01 PM,Chicken Burrito,Mexican,12.95,2023-01-01 12:52:01
9,2023-01-01,12:52:01 PM,Mushroom Ravioli,Italian,15.5,2023-01-01 12:52:01
9,2023-01-01,12:52:01 PM,Chips & Salsa,Mexican,7.0,2023-01-01 12:52:01
9,2023-01-01,12:52:01 PM,Shrimp Scampi,Italian,19.95,2023-01-01 12:52:01
9,2023-01-01,12:52:01 PM,Eggplant Parmesan,Italian,16.95,2023-01-01 12:52:01
10,2023-01-01,1:00:15 PM,Mushroom Ravioli,Italian,15.5,2023-01-01 13:00:15
10,2023-01-01,1:00:15 PM,Mac & Cheese,American,7.0,2023-01-01 13:00:15
11,2023-01-01,1:02:59 PM,Hamburger,American,12.95,2023-01-01 13:02:59
11,2023-01-01,1:02:59 PM,Cheeseburger,American,13.95,2023-01-01 13:02:59
11,2023-01-01,1:02:59 PM,Cheeseburger,American,13.95,2023-01-01 13:02:59
11,2023-01-01,1:02:59 PM,Edamame,Asian,5.0,2023-01-01 13:02:59
12,2023-01-01,1:04:41 PM,Cheeseburger,American,13.95,2023-01-01 13:04:41
12,2023-01-01,1:04:41 PM,Cheeseburger,American,13.95,2023-01-01 13:04:41
12,2023-01-01,1:04:41 PM,Veggie Burger,American,10.5,2023-01-01 13:04:41
12,2023-01-01,1:04:41 PM,Chicken Burrito,Mexican,12.95,2023-01-01 13:04:41
13,2023-01-01,1:11:55 PM,Mushroom Ravioli,Italian,15.5,2023-01-01 13:11:55
14,2023-01-01,1:14:19 PM,Potstickers,Asian,9.0,2023-01-01 13:14:19
15,2023-01-01,1:33:00 PM,Orange Chicken,Asian,16.5,2023-01-01 13:33:00
15,2023-01-01,1:33:00 PM,Spaghetti,Italian,14.5,2023-01-01 13:33:00
15,2023-01-01,1:33:00 PM,Cheese Quesadillas,Mexican,10.5,2023-01-01 13:33:00
15,2023-01-01,1:33:00 PM,Potstickers,Asian,9.0,2023-01-01 13:33:00
16,2023-01-01,1:34:07 PM,Spaghetti & Meatballs,Italian,17.95,2023-01-01 13:34:07
16,2023-01-01,1:34:07 PM,California Roll,Asian,11.95,2023-01-01 13:34:07
16,2023-01-01,1:34:07 PM,French Fries,American,7.0,2023-01-01 13:34:07
17,2023-01-01,1:53:00 PM,Hamburger,American,12.95,2023-01-01 13:53:00
17,2023-01-01,1:53:00 PM,Steak Tacos,Mexican,13.95,2023-01-01 13:53:00
17,2023-01-01,1:53:00 PM,Spaghetti,Italian,14.5,2023-01-01 13:53:00
17,2023-01-01,1:53:00 PM,Spaghetti & Meatballs,Italian,17.95,2023-01-01 13:53:00
17,2023-01-01,1:53:00 PM,Chicken Burrito,Mexican,12.95,2023-01-01 13:53:00
17,2023-01-01,1:53:00 PM,Meat Lasagna,Italian,17.95,2023-01-01 13:53:00
17,2023-01-01,1:53:00 PM,Cheese Lasagna,Italian,15.5,2023-01-01 13:53:00
17,2023-01-01,1:53:00 PM,Mushroom Ravioli,Italian,15.5,2023-01-01 13:53:00
17,2023-01-01,1:53:00 PM,Steak Burrito,Mexican,14.95,2023-01-01 13:53:00
17,2023-01-01,1:53:00 PM,Chicken Parmesan,Italian,17.95,2023-01-01 13:53:00
18,2023-01-01,1:57:08 PM,California Roll,Asian,11.95,2023-01-01 13:57:08
19,2023-01-01,1:59:09 PM,Pork Ramen,Asian,17.95,2023-01-01 13:59:09
19,2023-01-01,1:59:09 PM,Steak Torta,Mexican,13.95,2023-01-01 13:59:09
20,2023-01-01,2:03:08 PM,Orange Chicken,Asian,16.5,2023-01-01 14:03:08
20,2023-01-01,2:03:08 PM,Spaghetti,Italian,14.5,2023-01-01 14:03:08
21,2023-01-01,2:14:29 PM,Pork Ramen,Asian,17.95,2023-01-01 14:14:29
22,2023-01-01,2:16:26 PM,Spaghetti,Italian,14.5,2023-01-01 14:16:26
22,2023-01-01,2:16:26 PM,Pork Ramen,Asian,17.95,2023-01-01 14:16:26
22,2023-01-01,2:16:26 PM,Mac & Cheese,American,7.0,2023-01-01 14:16:26
23,2023-01-01,2:19:03 PM,Mac & Cheese,American,7.0,2023-01-01 14:19:03
24,2023-01-01,2:23:01 PM,Hamburger,American,12.95,2023-01-01 14:23:01
24,2023-01-01,2:23:01 PM,Pork Ramen,Asian,17.95,2023-01-01 14:23:01
24,2023-01-01,2:23:01 PM,Edamame,Asian,5.0,2023-01-01 14:23:01
24,2023-01-01,2:23:01 PM,Chicken Torta,Mexican,11.95,2023-01-01 14:23:01
25,2023-01-01,2:44:44 PM,Steak Torta,Mexican,13.95,2023-01-01 14:44:44
25,2023-01-01,2:44:44 PM,French Fries,American,7.0,2023-01-01 14:44:44
26,2023-01-01,2:54:26 PM,Tofu Pad Thai,Asian,14.5,2023-01-01 14:54:26
26,2023-01-01,2:54:26 PM,Eggplant Parmesan,Italian,16.95,2023-01-01 14:54:26
27,2023-01-01,3:11:17 PM,Hamburger,American,12.95,2023-01-01 15:11:17
27,2023-01-01,3:11:17 PM,Tofu Pad Thai,Asian,14.5,2023-01-01 15:11:17
27,2023-01-01,3:11:17 PM,Chicken Parmesan,Italian,17.95,2023-01-01 15:11:17
28,2023-01-01,3:35:46 PM,Hot Dog,American,9.0,2023-01-01 15:35:46
29,2023-01-01,3:41:01 PM,Fettuccine Alfredo,Italian,14.5,2023-01-01 15:41:01
30,2023-01-01,3:41:25 PM,French Fries,American,7.0,2023-01-01 15:41:25
31,2023-01-01,3:50:18 PM,Mushroom Ravioli,Italian,15.5,2023-01-01 15:50:18
31,2023-01-01,3:50:18 PM,Edamame,Asian,5.0,2023-01-01 15:50:18
32,2023-01-01,3:53:18 PM,Orange Chicken,Asian,16.5,2023-01-01 15:53:18
32,2023-01-01,3:53:18 PM,Fettuccine Alfredo,Italian,14.5,2023-01-01 15:53:18
32,2023-01-01,3:53:18 PM,Pork Ramen,Asian,17.95,2023-01-01 15:53:18
32,2023-01-01,3:53:18 PM,Chicken Burrito,Mexican,12.95,2023-01-01 15:53:18
33,2023-01-01,3:54:08 PM,Hamburger,American,12.95,2023-01-01 15:54:08
33,2023-01-01,3:54:08 PM,Fettuccine Alfredo,Italian,14.5,2023-01-01 15:54:08
34,2023-01-01,4:21:21 PM,Potstickers,Asian,9.0,2023-01-01 16:21:21
35,2023-01-01,4:32:04 PM,Fettuccine Alfredo,Italian,14.5,2023-01-01 16:32:04
35,2023-01-01,4:32:04 PM,Salmon Roll,Asian,14.95,2023-01-01 16:32:04
35,2023-01-01,4:32:04 PM,Edamame,Asian,5.0,2023-01-01 16:32:04
35,2023-01-01,4:32:04 PM,French Fries,American,7.0,2023-01-01 16:32:04
36,2023-01-01,4:54:09 PM,Hamburger,American,12.95,2023-01-01 16:54:09
36,2023-01-01,4:54:09 PM,Tofu Pad Thai,Asian,14.5,2023-01-01 16:54:09
37,2023-01-01,4:56:09 PM,Chicken Burrito,Mexican,12.95,2023-01-01 16:56:09
37,2023-01-01,4:56:09 PM,Mushroom Ravioli,Italian,15.5,2023-01-01 16:56:09
38,2023-01-01,5:03:00 PM,Korean Beef Bowl,Asian,17.95,2023-01-01 17:03:00
38,2023-01-01,5:03:00 PM,Pork Ramen,Asian,17.95,2023-01-01 17:03:00
39,2023-01-01,5:07:23 PM,Chicken Burrito,Mexican,12.95,2023-01-01 17:07:23
40,2023-01-01,5:14:36 PM,Spaghetti & Meatballs,Italian,17.95,2023-01-01 17:14:36
40,2023-01-01,5:14:36 PM,Mac & Cheese,American,7.0,2023-01-01 17:14:36
41,2023-01-01,5:15:20 PM,Spaghetti & Meatballs,Italian,17.95,2023-01-01 17:15:20
